Title,Year,Id,Image
פרשת בא - הרב ניר,"תשע""ח",1kHNwrX_VC19qD58Jt9jHUfOZpQDYYUyI,
פרשת שלח לך למאוס או לכסוף לארץ ישראל - הרב ניר,"תשע""ח",1BWSSeAbZW6dFTdR0ZPm-n5dhAO5-PjZI,
פרשת תצוה ופורים ע''ז - הרב ניר,"תשע""ח",1gTQiF7iAMaTo6C7-5eGCduk5v3yhnosp,
פרשת תולדות - הרב ניר,"תשע""ח",1ZaI1JouB_toct1WcPfI2ut5jTdUyuPz-,
פרשת שמות - הרב ניר,"תשע""ח",1HeKHe3iZMorau3gsfmeSp35DjW5klzMY,
פרשת דברים - הרב ניר,"תשע""ח",12npcWS0bX2lKt15zUzRQfd6tm7rProZ-,
פרשת מסעי - האם מותר לצום כיום בתשעה באב - הרב ניר,"תשע""ח",12nh-GdOd7bQ22ZCJRoXCF-It8U469ndV,
פרשת פנחס - הרב ניר,"תשע""ח",12ebME1n0XI2I3iRKaKFiJjw7gJhdAaPh,
פרשת בלק - הרב ניר,"תשע""ח",12IhC8kKBwuZQYHi9Sd2tpXAuEgJ19J44,
פרשת חוקת מי את פרה אדומה - הרב ניר,"תשע""ח",1RwaX4vu4LYR502ooONKl2nTB7cjUlbAF,
פרשת קרח - הרב ניר,"תשע""ח",11GXGCl-UTO40bomv6CAi4Kp6dOEsh5Df,
פרשת שלח לך - הרב ניר,"תשע""ח",1VaplQqBXxQMSPXVIaGCivbs45FnNTLnR,
פרשת בהעלותך נקודה בישיבה - הרב ניר,"תשע""ח",1090kuAKEjYkpPI8FNA4f1KNWGmB0E5UF,
נשא - הרב ניר,"תשע""ח",1VyfaOaIHFNlrmsjtCY8bvMEJF45Beu8X,
פרשת שמיני - הרב ניר,"תשע""ח",13NYYlk_NmaKkubgzkIIWMhO6SG11rdfW,
פרשת בהר - הרב ניר,"תשע""ח",1k5v-D-9tAoPh4l2_ri3hnXEplXa59oUe,
פרשת כי תצא - הרב ניר,"תשע""ח",1BRhUUriUM7sDzSaj9Dn9Or-rc8EAa7e_,
פרשת שופטים - הרב ניר,"תשע""ח",1HbxPz8ZZX6ncAJJYQ0TgEf3u8f9ZSI-p,
פרשת דברים תודעת בית המקדש הרב ניר,"תשע""ח",1HQvYq49DJe-r5TxWEPBTHIbxArQcJ7W0,
פרשת וישלח - יחסינו עם עשיו- לאן? - הרב ניר,"תשע""ח",1LyY7jtTK8tEtNHmXaDm0ShQQaeEk73t9,
פרשת שמות - הרב ניר,"תשע""ח",1rwuG0RfUKYLsjvry4FprFNk_ZD0YbqiG,
פרשת עשרת ימי תשובה ווילך - הרב ניר,"תשע""ח",1X7n2BGezRFy_iARiZd5LBqBcrC6CijJg,
פרשת נח - הרב ניר,"תשע""ח",16W_EzhFQfe5M0T2E5fmQQWrsdVpNG_bE,
פרשת ניצבים וראש השנה - הרב ניר,"תשע""ח",1SjdbHZ-nUkp6H6TDYe5WB8S6rDrUB_R8,
פרשת משפטים -  הרב ניר,"תשע""ח",1X1SNDs9fZ_oG6GG4KU8zddAM8iDjl1PS,
פרשת לך לך - הרב ניר,"תשע""ח",1kD3cgZylsvDL6cZRyBJXnzDJ2I8ntU84,
פרשת כי תבוא - הרב ניר,"תשע""ח",1DAWN92lMGW_kn85hF33a5CPym2QGzVMz,
פרשת וישב - הרב ניר,"תשע""ח",1grz7uFrNAKMVd-SBAED9gecx9T9IiJSX,
פרשת וירא - להאכיל את המלאכים 2 הרב ניר,"תשע""ח",1DOXwzyOajYU7JEOjEWmtUgw_PUpCpOfd,
פרשת ויקרא מחיבתו אל העניו - הרב ניר,"תשע""ח",1Yhgx8ZdE2ISG49br2WuahTIsC3oEs77K,
פרשת ויקהל - הרב ניר,"תשע""ח",1adS7QsMgOtNfYDCYPSrsWV_xb_TGo5mt,
פרשת חיי שרה שיחתן של עבדי אבות- הרב ניר,"תשע""ח",1auf5LMd2e62zc6kOTipZ0S76jQLfAeZM,
פרשת כי תשא - שבירת הלוחות - ערב רב ועגל הזהב הרב ניר,"תשע""ח",1VVEdDKsU5uwVWjCQXuUZBaPDAarSJAIL,
פרשת ויחי - הרב ניר,"תשע""ח",1e7TgjLXTpV6MIdVRWPEiqMhPLN_q1Sp6,
פרשת ויצא - הרב ניר,"תשע""ח",1-rFZUhprJWad6tASJ_Ws1GVLA5oHVwDk,
פרשת ויגש - הרב ניר,"תשע""ח",1ZYtXjwbfmU0kwf1NpxB2wwsbZP7Jj-6Y,
פרשת בשלח - הרב ניר,"תשע""ח",1rl2doXuFzU2fUm5Pu2JceTqDUDEbPyVr,
פרשת תרומה - הרב ניר,"תשע""ח",1jVldOm0MOnjpmfTqMR9SyeSPnJy1NZHu,
פרשת בראשית - הרב ניר,"תשע""ח",1sXSejV4aOJmV8yh2GYGHNndvobkqxCj4,
פרשת בא - הרב ניר,"תשע""ח",15Cwzyz8D2hyQV3Vd9p5bV0rpBAKtTC6e,
פרשת תולדות לומדים מעקבו של עשיו - הרב ניר,"תשע""ח",11oQf1j1aiYRPHGekZS7iGXawwYQkoLKw,
פרשת תצווה - הרב ניר,"תשע""ח",1cYslVX8UvZD6C5PQd_I0TEQs4ZWddERO,
פרשת תזריע - הרב ניר,"תשע""ח",1x1MUjn_W4N18I57jrdVcrwg3yobRZH-4,
פרשת ויצא - הרב ניר (ושבע ברכות שיר),"תשע""ט",1I1czqjET0cgO7yoMO7r5hOTofwjHvzPW,
פרשת דברים - הרב ניר,"תשע""ט",159-9aFaK4HVQ8RCZpLsasD5ibeL75ynH,
פרשת מטות-מסעי - הרב ניר,"תשע""ט",1d-p_FW7Ii0kDTHzYgXGdr7Eoat1OxInf,
פרשת פינחס - הרב ניר,"תשע""ט",1d4HRCL9dfehHVE2Y9Bv4my8G5UVIa4EL,
פרשת משפטים - הרב ניר,"תשע""ט",1ZnYqwPbTzNU8BgwaSNId3wHe_CEClr69,
פרשת שלח-לך - הרב ניר,"תשע""ט",1gDeZOo48ILuPyZqgEt-IHhkcSlE-ajRX,
תקציר פ במדבר - הרב ניר,"תשע""ט",1tGJMQaEkOI1qHQy2gmJEIBYc4ZY_eUPZ,
פרשת במדבר - הרב ניר,"תשע""ט",1rvUF6bj-l0shCrIM5s_h9E_MQ69nGIO0,
פרשת בהר-בחוקותי - הרב ניר,"תשע""ט",1D88xyWMyOnftl1kSdnwJ5ATtNYao3GIg,
פרשת אחרי מות-קדושים - הרב ניר יעקב מס,"תשע""ט",1nZpWAbD90hhKpB-BaDNTlwkqYqnYMYR5,
פרשת תזריע-מצורע ה'תש'''פ - הרב ניר יעקב מס,"תשע""ט",1cYHKHm8YpruPkj4B0ELsvHOwTifVf30r,
פרשת תצווה - הרב ניר,"תשע""ט",1TBtrEUFTnXJU3MHRYtU6ZYPB5YQ0xvnN,
פרשת לך-לך תש''פ - הרב ניר ,"תשע""ט",1Djm421waRq6PnvOHYXoRJs83jDc5Il23,
פרשת כי תבוא - הרב ניר,"תשע""ט",1nWoUxb4DYYB0PTgC9dwdjCSS5JHao62v,
פרשת כי תצא - הכרת הטוב וראיית רע - הרב ניר,"תשע""ט",17kDgZ58-kynzuP8y8_BjtOKx_Z1uqi_P,
פרשת בלק - הרב ניר,"תשע""ט",1i7jXjuyM9eJldtiMMHjjEDYHS9XzVYdx,
פרשת חוקת - הרב ניר,"תשע""ט",1JvduGaWiDGGy3XER0WDrm7_GDW8-JCrI,
פרשת קרח - הרב ניר,"תשע""ט",1bOn67bbkLIblrX9-tOcLn8yUA7L6XH5s,
פרשת דברים - הרב ניר,"תש""פ",1HvayqBH4K_kVa2t5IBB2YVe6w2uNl3DP,
פרשת ניצבים-וילך - הרב ניר,"תש""פ",13USKeCt0snSaO1gGdJ1YYkpFf3IVMbf8,
ראש השנה מריעים ומליכים,"תש""פ",106F9FP3mnx5EJh1tWpnmpSdaoXfwsjv9,
